simulation_No,A_Iterations,A_Distance,A_timed_out,A_crashed,B_Iterations,B_Distance,B_timed_out,B_crashed,elapsedTimesA,elapsedTimesB
1,25,33.1127,0,1,245,315.9016,0,0,0.000792,0.15094
2,10,12.3137,0,1,157,211.333,0,0,0.000127,0.000119
3,21,27.8701,0,1,181,242.7889,0,0,0.0001,0.000692
4,99,137.1787,0,0,99,137.1787,0,0,0.000983,0.001001
5,101,138.7645,0,0,85,116.3087,0,1,0.000558,0.000121
6,80,110.8944,0,1,114,157.5635,0,0,0.000113,7.8e-05
7,33,44.8406,0,1,66,89.8528,0,1,9.7e-05,7.7e-05
8,23,30.6985,0,1,180,235.9899,0,0,9.6e-05,7.7e-05
9,19,25.0416,0,1,216,287.3158,0,0,0.000107,7.7e-05
10,19,23.799,0,1,176,223.2914,0,0,0.000113,7.6e-05
11,99,137.1787,0,0,101,139.5929,0,0,0.000854,0.000401
12,89,112.4386,0,1,190,254.6884,0,0,9.9e-05,7.7e-05
13,43,53.1838,0,1,172,231.8894,0,1,0.000117,9e-05
14,48,65.6396,0,1,144,195.4335,0,0,9.9e-05,8.5e-05
15,176,182.6985,0,0,97,127.8944,0,1,0.000121,0.000129
16,59,73.3259,0,1,201,253.6762,0,0,0.000101,7e-05
17,26,34.9411,0,1,154,209.1615,0,0,9.8e-05,7.7e-05
18,28,38.1838,0,1,121,159.1787,0,0,9.7e-05,7.4e-05
19,50,64.3259,0,1,60,82.196,0,1,0.000103,9e-05
20,19,25.0416,0,1,22,29.6985,0,1,9.6e-05,7e-05
21,83,110.9949,0,1,114,156.4924,0,1,0.000149,9.5e-05
22,78,105.9949,0,1,62,83.7817,0,1,0.000158,0.000114
23,65,88.4386,0,1,191,249.8894,0,0,0.0001,7.8e-05
24,21,27.4558,0,1,401,522.193,1,0,9.7e-05,0.26791
25,104,140.5219,0,0,104,140.5219,0,0,9.7e-05,0.000108
26,32,43.4264,0,1,179,243.2742,0,0,0.00011,7.9e-05
27,118,121.9706,0,1,326,429.6245,0,0,9.8e-05,7.8e-05
28,29,39.1838,0,1,37,48.4264,0,1,0.000104,7.1e-05
29,101,138.3503,0,0,90,122.5513,0,1,0.000141,0.000116
30,53,71.468,0,1,62,85.0244,0,1,0.000107,7.7e-05
31,49,64.5685,0,1,104,139.0366,0,1,0.0001,7.3e-05
32,99,137.1787,0,0,168,203.6934,0,0,0.000115,9.3e-05
33,44,60.397,0,1,187,255.0021,0,0,9.9e-05,7.8e-05
34,26,34.9411,0,1,91,120.6518,0,1,0.000103,7.5e-05
35,35,47.669,0,1,140,186.2203,0,1,9.7e-05,7.8e-05
36,50,64.3259,0,1,118,162.9777,0,1,9.7e-05,8.4e-05
37,52,71.7107,0,1,84,115.3087,0,1,0.000102,7.2e-05
38,113,145.7939,0,0,133,165.7939,0,0,9.7e-05,7.1e-05
39,31,41.1838,0,1,201,266.1026,0,0,0.000146,7.1e-05
40,76,105.6518,0,1,82,113.7229,0,1,9.4e-05,7.2e-05
41,99,137.1787,0,0,122,167.2203,0,0,0.000106,7.3e-05
42,32,43.4264,0,1,199,252.9188,0,0,9.9e-05,7.9e-05
43,28,37.7696,0,1,31,42.0122,0,1,0.000119,7.9e-05
44,35,47.2548,0,1,176,226.6051,0,0,0.000108,9.3e-05
45,47,62.9828,0,1,64,85.7817,0,1,0.0001,0.0001
46,55,76.3675,0,1,87,112.9239,0,1,9.8e-05,9e-05
47,9,10.4853,0,1,117,157.8356,0,1,9.7e-05,7.9e-05
48,109,143.0366,0,0,58,75.6396,0,1,0.00011,0.000126
49,24,29.2132,0,1,154,198.9777,0,1,9.7e-05,0.000115
50,118,148.3087,0,0,128,168.2498,0,0,9.8e-05,7.4e-05
