simulation_No,A_Iterations,A_Distance,A_timed_out,A_crashed,B_Iterations,B_Distance,B_timed_out,B_crashed,elapsedTimesA,elapsedTimesB
1,99,137.1787,0,0,101,139.5929,0,0,0.00014,0.000454
2,15,18.5563,0,1,64,88.6812,0,1,0.000234,0.000108
3,101,138.7645,0,0,110,150.664,0,0,0.000102,9.5e-05
4,11,14.1421,0,1,122,160.5929,0,0,0.0001,9.4e-05
5,22,28.4558,0,1,114,147.7939,0,1,0.000108,0.000106
6,105,140.6934,0,0,119,162.1493,0,0,0.000104,9.1e-05
7,113,145.3797,0,0,116,150.4508,0,0,0.000104,9.2e-05
8,19,24.6274,0,1,140,182.0782,0,1,0.0001,0.000103
9,66,91.0955,0,1,124,170.0488,0,0,0.00011,0.000101
10,11,13.3137,0,1,127,171.3919,0,0,0.000127,9.7e-05
11,104,140.1076,0,0,112,151.0071,0,0,0.000104,8.7e-05
12,28,38.1838,0,1,178,239.3747,0,0,9.6e-05,0.000108
13,14,18.3848,0,1,59,78.2965,0,1,9.5e-05,9.5e-05
14,57,79.196,0,1,199,238.4214,0,0,0.0001,0.000128
15,50,67.6396,0,1,153,201.1198,0,0,9.6e-05,9.5e-05
16,46,63.2254,0,1,107,148.4924,0,0,0.0001,9.6e-05
17,75,77.7279,0,1,121,160.0071,0,0,9.5e-05,9.3e-05
18,50,68.8823,0,1,53,73.5391,0,1,9.9e-05,8.8e-05
19,78,107.6518,0,1,93,129.2792,0,1,9.8e-05,0.000114
20,106,141.2792,0,0,68,94.3381,0,1,8.7e-05,0.000131
21,61,83.6102,0,1,83,112.6518,0,1,9.6e-05,9.6e-05
22,25,33.5269,0,1,81,110.2376,0,1,9.2e-05,9.5e-05
23,99,137.1787,0,0,101,140.0071,0,0,9.6e-05,0.00011
24,65,88.4386,0,1,132,172.664,0,0,0.000108,9.1e-05
25,101,138.3503,0,0,91,127.2792,0,1,9.1e-05,0.000133
26,99,137.1787,0,0,73,101.8234,0,1,9.2e-05,0.000137
27,11,13.3137,0,1,13,16.9706,0,1,9.7e-05,9.2e-05
28,34,45.8406,0,1,63,86.8528,0,1,9.3e-05,9.2e-05
29,121,150.4802,0,0,121,155.0366,0,0,9.1e-05,0.000128
30,8,9.0711,0,1,143,189.463,0,0,9.4e-05,9.2e-05
31,72,80.9411,0,1,150,201.4335,0,0,9.7e-05,8.9e-05
32,24,31.6985,0,1,150,194.8061,0,0,9.3e-05,7.9e-05
33,17,21.799,0,1,175,235.5462,0,0,9.6e-05,9e-05
34,26,34.5269,0,1,98,126.8234,0,1,0.000142,0.000115
35,43,57.7401,0,1,126,174.1198,0,0,9.2e-05,8.7e-05
36,72,99.9949,0,1,113,153.664,0,0,0.00012,8.9e-05
37,43,58.1543,0,1,69,94.9239,0,1,9.1e-05,9e-05
38,64,87.4386,0,1,119,161.9066,0,1,9e-05,0.000133
39,99,137.1787,0,0,101,139.5929,0,0,8.8e-05,8.8e-05
40,17,21.3848,0,1,83,113.8944,0,1,9.3e-05,9.1e-05
41,102,130.8234,0,1,128,158.7229,0,0,9.5e-05,8.5e-05
42,27,35.5269,0,1,133,181.7056,0,1,0.000121,0.000127
43,24,31.6985,0,1,27,36.7696,0,1,0.000124,8.5e-05
44,84,108.6812,0,1,150,193.5635,0,0,9.8e-05,8.9e-05
45,121,150.066,0,0,75,93.8823,0,1,8.8e-05,0.000128
46,50,67.6396,0,1,120,161.2498,0,1,9.3e-05,9.5e-05
47,36,49.0833,0,1,39,53.7401,0,1,9.3e-05,8.6e-05
48,99,137.1787,0,0,116,155.8356,0,0,9.9e-05,8e-05
49,26,34.9411,0,1,148,195.7056,0,0,9.1e-05,8.5e-05
50,39,52.9117,0,1,41,56.5685,0,1,0.000108,8.5e-05
