simulation_No,A_Iterations,A_Distance,A_timed_out,A_crashed,B_Iterations,B_Distance,B_timed_out,B_crashed,elapsedTimesA,elapsedTimesB
1,50,135.7645,0,0,50,135.7645,0,0,0.000115,0.000149
2,51,137.7645,0,0,51,137.7645,0,0,0.000199,0.000231
3,14,35.1127,0,1,86,220.1909,0,0,0.000597,0.000104
4,31,78.2254,0,1,78,207.7473,0,0,0.000106,0.00066
5,55,142.4508,0,0,65,176.5341,0,0,0.000136,0.000122
6,56,143.6224,0,0,103,248.3919,0,0,0.000161,9.9e-05
7,38,102.1665,0,1,52,117.066,0,1,0.000103,9.8e-05
8,55,142.4508,0,0,68,177.5635,0,0,0.000104,0.000107
9,53,140.1076,0,0,107,278.1737,0,0,0.000131,0.0001
10,10,23.799,0,1,92,237.1615,0,0,9.9e-05,0.000115
11,51,137.7645,0,0,54,146.2498,0,0,0.000115,0.000125
12,47,123.4802,0,1,94,248.0315,0,0,0.0001,0.00018
13,33,89.6812,0,1,78,209.4041,0,0,9.9e-05,9.4e-05
14,19,48.4264,0,1,126,318.4163,0,0,0.000132,9.3e-05
15,52,138.9361,0,0,54,142.9361,0,0,0.000139,0.000153
16,16,40.7696,0,1,81,220.9605,0,0,0.00018,0.000125
17,41,111.4802,0,1,88,228.2325,0,0,9.3e-05,9.1e-05
18,46,123.1371,0,1,63,163.9066,0,0,0.000101,0.000111
19,50,135.7645,0,0,50,135.7645,0,0,0.000112,0.000149
20,50,131.9655,0,1,72,186.1198,0,0,0.000103,0.000137
21,50,135.7645,0,0,50,135.7645,0,0,0.000109,0.000141
22,40,106.9949,0,1,66,176.8772,0,0,9.1e-05,8.8e-05
23,35,90.3675,0,1,101,248.1909,0,0,9.8e-05,9e-05
24,23,60.8112,0,1,145,347.3036,0,0,9.7e-05,9.1e-05
25,55,142.4508,0,0,58,149.5219,0,0,8.9e-05,8.9e-05
26,19,50.0833,0,1,181,434.7006,0,0,9.2e-05,0.00011
27,8,17.3137,0,1,72,180.8772,0,0,9.2e-05,9.1e-05
28,39,104.1665,0,1,72,192.1909,0,0,9.4e-05,9e-05
29,51,137.7645,0,0,126,288.0071,0,0,0.000104,8.6e-05
30,37,100.9949,0,1,65,171.6346,0,0,9.6e-05,8.8e-05
31,52,138.9361,0,0,67,175.2203,0,0,0.000103,8.3e-05
32,57,144.7939,0,0,78,201.3625,0,0,9.9e-05,8.7e-05
33,50,135.7645,0,0,52,140.5929,0,0,9.1e-05,8.4e-05
34,64,152.9949,0,0,144,372.6417,0,0,8.9e-05,0.000111
35,26,68.2254,0,1,84,229.4457,0,0,9.5e-05,8.7e-05
36,43,116.3087,0,1,186,488.2641,0,0,0.000103,9.3e-05
37,50,135.7645,0,0,52,141.4214,0,0,0.000141,0.000134
38,50,135.7645,0,0,54,144.5929,0,0,9.5e-05,8.6e-05
39,16,39.9411,0,1,217,539.2519,0,0,9.7e-05,0.14521
40,51,137.7645,0,0,92,238.8183,0,0,9.5e-05,6.4e-05
41,52,138.9361,0,0,70,191.5046,0,0,9.8e-05,6.2e-05
42,12,29.4558,0,1,71,174.7351,0,0,8.7e-05,6.7e-05
43,54,141.2792,0,0,62,155.9066,0,0,8.8e-05,6e-05
44,55,142.4508,0,0,78,200.9483,0,0,0.000149,5.7e-05
45,58,145.9655,0,0,67,176.3919,0,0,9e-05,6e-05
46,54,141.2792,0,0,54,141.2792,0,0,8.7e-05,0.0001
47,38,100.5097,0,1,100,259.2031,0,0,8.9e-05,6.1e-05
48,24,59.2548,0,1,142,365.2275,0,0,9.9e-05,6.6e-05
49,14,35.9411,0,1,86,236.7595,0,0,9.3e-05,6.4e-05
50,12,30.2843,0,1,111,289.2447,0,0,8.7e-05,5.6e-05
