simulation_No,A_Iterations,A_Distance,A_timed_out,A_crashed,B_Iterations,B_Distance,B_timed_out,B_crashed,elapsedTimesA,elapsedTimesB
1,18,23.2132,0,1,174,216.3209,0,0,0.000733,0.000463
2,99,137.1787,0,0,99,137.1787,0,0,0.000813,0.000849
3,99,137.1787,0,0,105,143.5929,0,0,0.000175,0.00033
4,100,137.7645,0,0,141,189.9483,0,0,0.000236,0.0001
5,99,137.1787,0,0,99,137.1787,0,0,9.4e-05,0.000128
6,66,91.5097,0,1,176,224.9483,0,0,9.6e-05,8.7e-05
7,26,34.9411,0,1,227,299.9727,0,0,9.3e-05,0.14647
8,53,68.1543,0,1,127,170.9777,0,0,9.4e-05,6.6e-05
9,39,53.3259,0,1,141,189.9483,0,0,8.4e-05,6.4e-05
10,29,38.7696,0,1,30,41.0122,0,1,8.6e-05,6.8e-05
11,131,156.3381,0,0,158,205.2914,0,0,0.000126,6.8e-05
12,30,40.598,0,1,158,216.4752,0,0,8.5e-05,7.2e-05
13,28,37.3553,0,1,149,203.0904,0,1,8.5e-05,9.6e-05
14,25,31.8701,0,1,374,469.3402,0,0,8.9e-05,0.23811
15,99,137.1787,0,0,99,137.1787,0,0,0.000116,0.000133
16,33,44.8406,0,1,218,270.262,0,0,8.8e-05,6.2e-05
17,112,144.7939,0,0,112,144.7939,0,0,0.000117,0.000133
18,41,56.1543,0,1,43,58.9828,0,1,0.000154,9.1e-05
19,28,37.7696,0,1,29,39.598,0,1,0.000215,0.000112
20,79,107.8234,0,1,213,280.5879,0,0,8.8e-05,9.3e-05
21,16,20.799,0,1,139,192.0904,0,0,0.000131,9.5e-05
22,41,55.7401,0,1,153,206.0904,0,0,0.000159,0.000108
23,174,210.5219,0,0,180,219.0071,0,0,0.000121,9.7e-05
24,99,137.1787,0,0,99,137.1787,0,0,9.1e-05,0.000103
25,55,75.5391,0,1,128,174.8772,0,0,0.000106,9.9e-05
26,103,139.5219,0,0,109,150.4924,0,0,0.00013,9.6e-05
27,83,106.8528,0,1,87,112.9239,0,1,0.000115,7.3e-05
28,27,36.3553,0,1,239,318.1859,0,0,0.000127,6.6e-05
29,100,137.7645,0,0,105,144.8356,0,0,0.000134,9.7e-05
30,99,137.1787,0,0,181,216.2792,0,0,0.000108,7.1e-05
31,79,106.1665,0,1,175,236.7889,0,0,0.000101,6.2e-05
32,99,137.1787,0,0,99,137.1787,0,0,0.000128,0.000146
33,20,26.4558,0,1,246,305.7178,0,0,8.3e-05,6.5e-05
34,36,48.669,0,1,194,258.6884,0,0,8.5e-05,6.2e-05
35,67,92.9239,0,1,135,183.5341,0,0,9.1e-05,6.2e-05
36,20,26.4558,0,1,155,208.5046,0,0,0.00012,0.000103
37,104,140.1076,0,0,104,140.1076,0,0,8.5e-05,0.0001
38,181,185.6274,0,0,143,184.9066,0,0,9.6e-05,9.8e-05
39,78,108.4802,0,1,155,189.865,0,0,0.000127,8.6e-05
40,99,137.1787,0,0,81,113.1371,0,1,0.000157,0.0001
41,104,140.5219,0,0,111,153.7351,0,0,0.000139,0.000102
42,99,137.1787,0,0,99,137.1787,0,0,9e-05,0.000104
43,99,137.1787,0,0,99,137.1787,0,0,0.00012,0.000133
44,99,137.1787,0,0,105,143.1787,0,0,0.000128,7.4e-05
45,99,137.1787,0,0,107,145.5929,0,0,0.000138,9.6e-05
46,34,42.9411,0,1,134,180.463,0,0,8.8e-05,9.3e-05
47,76,104.4092,0,1,133,180.7056,0,0,0.00014,6.6e-05
48,99,137.1787,0,0,110,150.2498,0,0,0.000146,0.000101
49,13,16.5563,0,1,125,162.7645,0,0,8.9e-05,6.1e-05
50,17,21.799,0,1,133,179.8772,0,0,9.8e-05,6.8e-05
