simulation_No,A_Iterations,A_Distance,A_timed_out,A_crashed,B_Iterations,B_Distance,B_timed_out,B_crashed,elapsedTimesA,elapsedTimesB
1,260,293.2082,0,0,260,293.2082,0,0,0.15531,0.31541
2,111,144.6224,0,0,111,144.6224,0,0,7.9e-05,9.2e-05
3,120,149.8944,0,0,120,149.8944,0,0,7.7e-05,8.9e-05
4,108,142.865,0,0,108,142.865,0,0,7.7e-05,9.2e-05
5,317,387.9016,0,0,317,387.9016,0,0,0.20275,0.4257
6,110,144.0366,0,0,110,144.0366,0,0,0.00015,0.000168
7,127,153.9949,0,0,127,153.9949,0,0,0.000147,0.000164
8,126,153.4092,0,0,126,153.4092,0,0,0.000137,0.000155
9,132,156.9239,0,0,132,156.9239,0,0,0.000149,0.000164
10,146,175.8944,0,0,146,175.8944,0,0,0.000144,0.000162
11,114,146.3797,0,0,114,146.3797,0,0,0.000141,0.000157
12,110,144.0366,0,0,110,144.0366,0,0,0.000137,0.000154
13,223,250.8234,0,0,223,250.8234,0,0,0.000143,0.000163
14,331,397.7595,0,0,331,397.7595,0,0,0.20228,0.41455
15,115,146.9655,0,0,115,146.9655,0,0,8e-05,9.3e-05
16,122,151.066,0,0,122,151.066,0,0,7.9e-05,9.3e-05
17,104,140.5219,0,0,104,140.5219,0,0,8.1e-05,9.4e-05
18,142,166.9239,0,0,142,166.9239,0,0,8e-05,9.4e-05
19,104,140.5219,0,0,104,140.5219,0,0,9.4e-05,0.00011
20,108,142.865,0,0,108,142.865,0,0,8.1e-05,9.5e-05
21,106,141.6934,0,0,106,141.6934,0,0,7.6e-05,8.9e-05
22,111,144.6224,0,0,111,144.6224,0,0,8.1e-05,9.5e-05
23,230,278.9483,0,0,230,278.9483,0,0,8.6e-05,9.9e-05
24,182,204.4386,0,0,182,204.4386,0,0,8.3e-05,9.8e-05
25,155,190.2792,0,0,155,190.2792,0,0,8.1e-05,9.5e-05
26,144,172.2376,0,0,144,172.2376,0,0,7.9e-05,9.3e-05
27,130,155.7523,0,0,130,155.7523,0,0,8.2e-05,9.6e-05
28,115,146.9655,0,0,115,146.9655,0,0,9.5e-05,0.000109
29,119,149.3087,0,0,119,149.3087,0,0,9.8e-05,0.000112
30,211,237.9949,0,0,211,237.9949,0,0,8.9e-05,0.000104
31,129,155.9949,0,0,129,155.9949,0,0,8.5e-05,0.000101
32,104,140.5219,0,0,104,140.5219,0,0,8.1e-05,9.6e-05
33,202,233.5513,0,0,202,233.5513,0,0,8.1e-05,9.4e-05
34,165,195.3087,0,0,165,195.3087,0,0,7.9e-05,9.3e-05
35,125,152.8234,0,0,125,152.8234,0,0,8.3e-05,9.6e-05
36,118,148.7229,0,0,118,148.7229,0,0,7.9e-05,9.2e-05
37,114,146.3797,0,0,114,146.3797,0,0,8e-05,9.3e-05
38,152,180.2376,0,0,152,180.2376,0,0,8.1e-05,9.4e-05
39,116,150.865,0,0,116,150.865,0,0,7.9e-05,9.2e-05
40,110,143.6224,0,0,110,143.6224,0,0,9.3e-05,0.000105
41,121,153.7939,0,0,121,153.7939,0,0,7.7e-05,9.1e-05
42,105,141.1076,0,0,105,141.1076,0,0,0.000108,0.000124
43,126,156.7229,0,0,126,156.7229,0,0,8.2e-05,9.5e-05
44,115,146.9655,0,0,115,146.9655,0,0,7.7e-05,9e-05
45,133,157.5097,0,0,133,157.5097,0,0,8.5e-05,9.7e-05
46,182,221.0071,0,0,182,221.0071,0,0,8e-05,9.2e-05
47,117,148.1371,0,0,117,148.1371,0,0,7.7e-05,9e-05
48,105,141.1076,0,0,105,141.1076,0,0,7.8e-05,9.2e-05
49,108,142.865,0,0,108,142.865,0,0,7.9e-05,9e-05
50,104,140.5219,0,0,104,140.5219,0,0,7.7e-05,9.1e-05
